,0,1,2
0,0001,1.308,C2
1,0002,1.32,C2
2,0003,1.347,C2
3,0004,1.323,C2
4,0005,1.355,C2
5,0006,1.422,C2
6,0007,1.332,C2
7,0008,1.33,C2
8,0009,1.351,C2
9,0010,1.978,C3
10,0011,1.979,C3
11,0012,1.977,C3
12,0013,1.629,C3
13,0014,1.703,C3
14,0015,4.821,N17
15,0016,2.265,C3
16,0017,3.255,C3
17,0018,2.448,C1
18,0019,2.453,C1
19,0020,2.333,C1
20,0021,2.394,C1
21,0022,2.684,C3
22,0023,2.801,C3
23,0024,1.487,C3
24,0025,1.468,C3
25,0026,1.614,C1
26,0027,2.364,C1
27,0028,1.48,C1
28,0029,2.511,C2
29,0030,1.485,C3
30,0031,1.271,C12
31,0032,1.265,C12
32,0033,1.267,C13
33,0034,1.295,C12
34,0035,1.298,C12
35,0036,1.453,C1
36,0037,1.455,C1
37,0038,1.454,C1
38,0039,1.515,C1
39,0040,1.444,C1
40,0041,1.521,C1
41,0042,0.793,C10
42,0043,0.793,C10
43,0044,1.666,C10
44,0045,0.799,C10
45,0046,0.758,N12
46,0047,1.046,C10
47,0048,1.335,N11
48,0049,1.374,N11
49,0050,2.472,N12
50,0051,0.068,N9
51,0052,0.258,N9
52,0053,0.177,N9
53,0054,0.392,N9
54,0055,0.178,N9
55,0056,0.454,N9
56,0057,0.066,N9
57,0058,2.213,N6
58,0059,3.099,C12
59,0060,1.509,C1
60,0061,1.513,C3
61,0062,0.77,N10
62,0063,0.841,N11
63,0064,2.44,N10
64,0065,0.762,N10
65,0066,1.743,N10
66,0067,0.767,N10
67,0068,0.769,N10
68,0069,1.392,N10
69,0070,0.003,N5
70,0071,0.002,N5
71,0072,1.433,C2
72,0073,1.436,C1
73,0074,1.44,C2
74,0075,1.436,C1
75,0076,1.441,C1
76,0077,1.452,C3
77,0078,1.457,C1
78,0079,1.134,C14
79,0080,1.13,C14
80,0081,1.125,C14
81,0082,1.133,C14
82,0083,1.276,N16
83,0084,1.201,C14
84,0085,1.255,N16
85,0086,2.475,C12
86,0087,2.174,C14
87,0088,1.129,C14
88,0089,2.513,N16
89,0090,2.581,C14
90,0091,2.122,C14
91,0092,1.223,C10
92,0093,1.22,C10
93,0094,1.252,N14
94,0095,1.188,C9
95,0096,2.132,N14
96,0097,1.18,C9
97,0098,1.322,C2
98,0099,1.33,C2
99,0100,1.334,C2
100,0101,1.336,C2
101,0102,1.317,C2
102,0103,1.335,C2
103,0104,1.367,C2
104,0105,1.324,C2
105,0106,1.338,C2
106,0107,1.337,C2
107,0108,1.997,C3
108,0109,2.108,C3
109,0110,1.993,C3
110,0111,1.673,C3
111,0112,1.73,C3
112,0113,1.732,C3
113,0114,4.191,N17
114,0115,3.436,N17
115,0116,3.235,N17
116,0117,4.548,N17
117,0118,3.56,N17
118,0119,2.521,C1
119,0120,2.472,C1
120,0121,2.465,C1
121,0122,3.235,C3
122,0123,1.489,C3
123,0124,1.486,C1
124,0125,3.043,C3
125,0126,2.951,N17
126,0127,1.583,C3
127,0128,2.838,C2
