ID(Khazana),Material composition,CationA,CationB,Anion X,rMass,rIon,ToleranceFactor,class,total_number,atom_type,tool,potential,"Band Gap, HSE06 (eV)","Band Gap, GGA (eV)",dielectric_total,dielectric_electron,dielectric_ion,atomization_energy[eV/atom],total_energy[eV],cutoff_energy[eV],k-points,author,,,
1851,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.308,C2,1.418335132,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.94,4.73,10.9458,4.5367,6.409,-4.7856,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1852,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.32,C2,1.424517486,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.37,4.1,12.005,4.5228,7.4822,-4.784,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1853,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.347,C2,1.438427784,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.89,4.59,28.5547,5.1675,23.3872,-4.7815,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1854,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.323,C2,1.426063075,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.95,4.67,72.6884,5.2533,67.4351,-4.7814,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1855,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.355,C2,1.442549353,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.96,4.66,43.3243,5.2009,38.1234,-4.7813,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1856,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.422,C2,1.477067498,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.94,4.66,22.2423,5.0625,17.1797,-4.7774,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1857,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.332,C2,1.430699841,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.95,4.69,8.5587,4.1579,4.4008,-4.326,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1858,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.33,C2,1.429669448,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.74,4.51,8.196,4.138,4.058,-4.3318,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1859,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.351,C2,1.440488568,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.7,4.43,13.8823,4.6628,9.2195,-4.3367,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1860,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.978,C3,1.763516584,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.74,4.55,12.5573,4.5748,7.9825,-4.3364,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1861,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.979,C3,1.764031781,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.52,4.31,21.5764,4.639,16.9374,-4.3453,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1862,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.977,C3,1.763001388,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.91,4.65,10.4513,4.2906,6.1606,-4.336,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1863,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.629,C3,1.583713111,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.97,4.72,10.214,4.278,5.936,-4.3359,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1864,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.703,C3,1.62183763,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.73,4.5,13.0566,4.5951,8.4615,-4.3361,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1865,C3H10N1Ge1F3,C3H10N1,Ge1,F3,4.821,N17,3.897974431,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.04,4.73,21.7676,4.6488,17.1187,-4.3445,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1866,C3H10N1Ge1F3,C3H10N1,Ge1,F3,2.265,C3,1.911377893,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.82,4.53,18.676,4.6277,14.0484,-4.3437,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1867,C3H10N1Ge1F3,C3H10N1,Ge1,F3,3.255,C3,2.421422129,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.69,4.42,46.0467,4.6244,41.4223,-4.3426,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1868,C4H12N1Ge1F3,C4H12N1,Ge1,F3,2.448,C1,2.005658797,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,6.05,4.84,48.7618,5.2179,43.5439,-4.344,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1869,C4H12N1Ge1F3,C4H12N1,Ge1,F3,2.453,C1,2.008234778,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,5.95,4.69,21.4765,5.103,16.3736,-4.3446,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1870,C4H12N1Ge1F3,C4H12N1,Ge1,F3,2.333,C1,1.946411234,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,5.55,4.33,35.3938,5.1973,30.1966,-4.3465,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1871,C4H12N1Ge1F3,C4H12N1,Ge1,F3,2.394,C1,1.977838203,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,6.22,4.98,27.3798,5.1597,22.2201,-4.3473,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1872,C3H10N1Ge1F3,C3H10N1,Ge1,F3,2.684,C3,2.1272451,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.19,4.96,10.1376,4.1587,5.9789,-4.293,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1873,C3H10N1Ge1F3,C3H10N1,Ge1,F3,2.801,C3,2.187523055,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,5.91,4.67,15.3588,4.3908,10.9681,-4.2956,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1874,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.487,C3,1.510555251,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.39,5.08,14.3495,4.3789,9.9706,-4.2955,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1875,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.468,C3,1.500766524,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.28,5,15.0877,4.4006,10.687,-4.2954,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1876,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.614,C1,1.575985168,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.35,5.08,9.8024,4.0608,5.7416,-4.2883,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1877,C3H10N1Ge1F3,C3H10N1,Ge1,F3,2.364,C1,1.962382317,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.42,5.16,20.5962,4.8425,15.7537,-4.3005,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1878,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.48,C1,1.506948878,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.12,4.82,29.7054,5.0297,24.6757,-4.2998,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1879,C3H10N1Ge1F3,C3H10N1,Ge1,F3,2.511,C2,2.038116158,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.06,4.77,18.422,4.6532,13.7688,-4.2947,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1880,C3H10N1Ge1F3,C3H10N1,Ge1,F3,1.485,C3,1.509524859,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,6.43,5.11,26.0396,5.0044,21.0353,-4.2998,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1881,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.271,C12,1.399272873,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.6,4.38,23.9938,4.9793,19.0146,-4.2999,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1882,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.265,C12,1.396181695,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.59,4.37,17.2488,4.8314,12.4174,-4.3005,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1883,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.267,C13,1.397212088,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.79,4.58,24.6357,4.8854,19.7503,-4.3004,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1884,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.295,C12,1.411637581,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.84,4.57,12.3547,4.6699,7.6848,-3.5477,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1885,C2H8N1Ge1F3,C2H8N1,Ge1,F3,1.298,C12,1.41318317,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.93,4.66,16.1409,4.7773,11.3636,-3.5327,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1886,C2H7N2Ge1F3,C2H7N2,Ge1,F3,1.453,C1,1.493038581,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.25,3.92,12.0258,4.628,7.3978,-3.5477,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1887,C2H7N2Ge1F3,C2H7N2,Ge1,F3,1.455,C1,1.494068973,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.48,4.16,16.4296,5.1927,11.2369,-3.8081,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1888,C2H7N2Ge1F3,C2H7N2,Ge1,F3,1.454,C1,1.493553777,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.86,4.49,26.2255,5.1639,21.0616,-3.8066,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1889,C2H7N2Ge1F3,C2H7N2,Ge1,F3,1.515,C1,1.524980745,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.26,3.94,15.2462,5.2112,10.035,-3.8088,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1890,C2H7N2Ge1F3,C2H7N2,Ge1,F3,1.444,C1,1.488401815,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.16,3.83,15.308,5.0348,10.2732,-3.7955,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1891,C2H7N2Ge1F3,C2H7N2,Ge1,F3,1.521,C1,1.528071922,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,5.15,3.81,16.0953,5.2006,10.8947,-3.8083,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1892,C1H6N1Ge1F3,C1H6N1,Ge1,F3,0.793,C10,1.15300909,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,4.93,3.74,14.729,4.914,9.815,-3.7944,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1893,C1H6N1Ge1F3,C1H6N1,Ge1,F3,0.793,C10,1.15300909,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,4.72,3.54,14.5823,5.1008,9.4815,-3.8006,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1894,C1H6N1Ge1F3,C1H6N1,Ge1,F3,1.666,C10,1.602775371,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,5.75,4.49,18.5742,5.1608,13.4134,-3.7815,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
1895,C1H6N1Ge1F3,C1H6N1,Ge1,F3,0.799,C10,1.156100267,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,5.24,3.99,17.3795,5.0438,12.3356,-3.7814,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
