,ToleranceFactor
0,1.335903740340049
1,1.342086094711079
2,1.3559963920458962
3,1.3436316833038366
4,1.3601179616265828
5,1.3946361068648334
6,1.348268449082109
7,1.3472380566869375
8,1.3580571768362397
9,1.6810851927225532
10,1.6816003889201392
11,1.6805699965249672
12,1.5012817197650994
13,1.5394062383864509
14,3.1457879824590593
15,1.8289465014296855
16,2.338990737039654
17,1.9232274055878917
18,1.9258033865758213
19,1.8639798428655219
20,1.8954068109182574
21,2.044813708218147
22,2.105091663335689
23,1.428123859707912
24,1.4183351319537816
25,1.4935537768013123
26,1.8799509249906825
27,1.4245174863248113
28,1.955684766035799
29,1.4270934673127404
30,1.3168414810293736
31,1.3137503038438585
32,1.3147806962390303
33,1.3292061897714336
34,1.330751778364191
35,1.410607188989994
36,1.4116375813851658
37,1.4111223851875798
38,1.4425493532403153
39,1.4059704232117216
40,1.4456405304258304
41,1.0705776985833482
42,1.0705776985833482
43,1.5203439790757751
44,1.0736688757688633
45,1.0525458316678444
46,1.2009223365725625
47,1.3498140376748666
48,1.3699066893807137
49,1.9355921143299515
50,0.6970604553336238
51,0.7949477328749309
52,0.7532168408704789
53,0.8639840233514318
54,0.7537320370680647
55,0.8959261876017529
56,0.6960300629384522
57,1.8021562991552227
58,2.258620130216265
59,1.4394581760548004
60,1.4415189608451437
61,1.0587281860388742
62,1.095307116067468
63,1.919105836007205
64,1.0546066164581875
65,1.560014086289884
66,1.0571825974461169
67,1.0582129898412884
68,1.3791802209372583
69,0.663572702490545
70,0.6630575062929592
71,1.4003032650382776
72,1.401848853631035
73,1.403909638421378
74,1.401848853631035
75,1.404424834618964
76,1.4100919927924083
77,1.4126679737803374
78,1.2462596019601153
79,1.244198817169772
80,1.2416228361818429
81,1.2457444057625295
82,1.3194174620173027
83,1.2807777471983657
84,1.3085983418680003
85,1.937137702922709
86,1.7820636474493752
87,1.243683620972186
88,1.9567151584309705
89,1.9917484998668071
90,1.7552734451749124
91,1.2921120635452539
92,1.2905664749524963
93,1.3070527532752427
94,1.27408019662975
95,1.7604254071507703
96,1.2699586270490633
97,2.2813383919015524
98,2.178407863508648
99,2.375186814848024
100,2.4807122305113376
101,2.286960647654106
102,2.496714035345528
103,2.513580802603189
104,2.532609975919524
105,2.5706683225521942
106,2.7427958448226817
107,2.286528166442371
108,2.2523621507153146
109,2.266201549490831
110,2.3103146330877906
111,2.363077340919447
112,2.247172376174496
113,2.769609679950245
114,2.2735537300903244
115,2.2860956852306367
116,2.7786917853966777
117,2.502336291098082
118,2.3003675652178877
119,2.7804217102436173
120,2.362212378495977
121,2.2653365870673614
122,2.2341979398224496
123,2.334966062156679
124,2.4975789977689984
125,2.7051699794017465
126,2.4361666657026437
127,2.627755842501201
128,2.373456890001084
129,2.0707200417866605
130,1.9868186867100912
131,2.0936415460086097
132,2.5295826074373804
133,2.4724950874883747
134,2.5797504279986274
135,2.3046923773352366
136,2.13256485506475
137,2.2649041058556265
138,2.595752232832819
139,2.8850821634834616
140,2.458655688712858
141,2.218628616199993
142,2.1178604938657637
143,2.4340042596439693
144,2.1377546296055683
145,2.2272782404346914
146,1.8977275570927037
147,2.0257419957662313
148,2.4028656123990575
149,1.7675507123605012
150,2.3142069639934046
151,1.944868009171807
152,2.0304992890953155
153,1.99200846125091
154,1.9470304152304811
155,2.5321774947077897
156,2.4167050111745736
157,2.594022307985879
158,2.3142069639934046
159,2.296475234312274
160,2.2757161361489993
161,2.259714331314808
162,1.877400940141164
163,2.987147729452895
164,2.477252380817458
165,2.078504703597889
166,2.3051248585469715
167,2.5628836607409666
168,2.2307380901285705
169,2.746688175728296
170,2.1511615471693504
171,2.3898911760470103
172,2.075909816327479
173,2.2173311725647884
174,2.6515423091466195
175,2.259714331314808
176,2.3111795955112595
177,1.8981600383044384
178,2.258416887679603
179,2.7908012593252542
180,2.649379903087945
181,2.1537564344397597
182,2.2882580912893107
183,2.225548315587752
184,2.5386647128838127
185,2.223385909529077
186,2.4244896729858016
187,2.2826358355367575
188,2.4491411020546905
189,2.3003675652178877
190,2.198301999248453
191,2.2095465107535603
192,2.4123801990572247
193,2.594454789197614
194,2.533042457131259
195,2.2099789919652952
196,2.180137788355588
197,2.1775429010851783
198,1.9902785364039706
199,2.5230953892613566
200,2.4439513275138713
201,3.0105017148865794
202,1.3579758300681999
203,1.360456906493416
204,1.361697444706024
205,1.3629379829186317
206,1.354254215430376
207,1.36211095744356
208,1.3736893140945676
209,1.3575623173306641
210,1.3608704192309518
211,1.3629379829186317
212,1.3637650083937038
213,1.637096927904995
214,1.6325482877920992
215,1.635442876954851
216,1.5204863359198448
217,1.5010512372556533
218,1.527102539720421
219,2.6233248069283372
220,2.533179030145491
221,2.699824663372496
222,2.3189794321018473
223,2.8830108061009407
224,2.555922230709971
225,2.5137439314812995
226,1.850469500473567
227,1.8318614272844473
228,1.8318614272844473
229,2.2304877062691446
230,1.4262054317616386
231,1.4266189444991748
232,1.4270324572367106
233,1.5010512372556533
234,2.0568123565040275
235,1.4737593965782778
236,1.9943719331360927
237,1.4278594827117828
238,1.3455704479421202
239,1.3463974734171922
240,1.3455704479421202
241,1.344743422467048
242,1.3488785498424078
243,1.346810986154728
244,1.3476380116298003
245,1.7843074624678081
246,1.3476380116298003
247,1.4171081515358468
248,1.416694638798311
249,1.4162811260607748
250,1.4369567629375744
251,1.408424384047591
252,1.4584594252894463
253,1.1446032574996277
254,1.1446032574996277
255,1.6635617431072984
256,1.1441897447620917
257,1.128476260735724
258,1.2595597985346336
259,1.3650055466063118
260,1.3947784637089033
261,1.973696296259293
262,0.8377768062479211
263,0.9204793537551197
264,0.9014577678284641
265,1.007317028637678
266,0.900630742353392
267,1.016827821601006
268,0.8373632935103851
269,2.021250261075932
270,2.0766609679057555
271,2.334692916128215
272,1.4402648648378624
273,1.4410918903129344
274,1.4398513521003264
275,1.131784362636012
276,1.9546747103326374
277,1.132197875373548
278,1.1644518689013552
279,1.177270763764971
280,1.132197875373548
281,1.1313708498984758
282,1.1305438244234038
283,1.132197875373548
284,1.5039458264184051
285,1.4435729667381503
286,0.8113119910456176
287,0.8113119910456176
288,0.8113119910456176
289,0.8117255037831536
290,1.413386536898023
291,1.4109054604728068
292,1.411318973210343
293,1.409664922260199
294,1.4092514095226631
295,1.4092514095226631
296,1.413386536898023
297,1.413386536898023
298,1.4510161960137984
299,1.281889486361577
300,1.2806489481489693
301,1.2806489481489693
302,1.2806489481489693
303,1.3174515817896726
304,1.3141434798893847
305,1.344743422467048
306,1.293054330275049
307,2.0150475700128925
308,1.2769273335111453
309,1.7826534115176644
310,1.7301372938505934
311,1.2856111009994011
312,2.1217338562971784
313,2.1118095505963144
314,1.681342790821346
315,1.3244812983277845
316,1.3191056327398165
317,1.3050461996635927
318,1.304632686926057
319,1.305459712401129
320,1.8219371215835836
321,1.305459712401129
322,1.305459712401129
323,1.362436344515719
324,1.3647547274048555
325,1.364368330256666
326,1.3663003159976128
327,1.3550947987001212
328,1.3655275217012341
329,1.3655275217012341
330,1.377892230443294
331,1.36204994736753
332,1.3647547274048555
333,1.3659139188494236
334,1.3670731102939917
335,1.6224816252471652
336,1.621322433802597
337,1.6209360366544079
338,1.5077216722349225
339,1.4930385806037265
340,1.514290423754142
341,2.668072308247601
342,2.868998825306073
343,1.6522342056577468
344,2.9455054606475684
345,1.6487566313240423
346,2.444734756594145
347,1.8176121850827975
348,1.8168393907864184
349,1.8056338734889268
350,1.8091114478226313
351,2.2948126630966694
352,1.4907201977145903
353,1.425805476818776
354,1.4261918739669652
355,1.4470573199691912
356,2.0011508304727483
357,1.9756486186922497
358,1.4285102568561014
359,2.0069467876955884
360,1.4250326825223973
361,1.3504580329218487
362,1.3504580329218487
363,1.3500716357736595
364,1.34968523862547
365,1.352776415810985
366,1.3512308272182274
367,1.779745264560239
368,1.3520036215146063
369,1.4169183424104204
370,1.4169183424104204
371,1.4161455481140417
372,1.4370109941162676
373,1.4076448108538755
374,1.4578764401184938
