Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
Cs8Br24Bi4Ag4,1.611,0.000,-0.966
Cs8Au4Bi4Br24,0.609,53.761,-0.867
Cs8Br24Bi4Cu4,0.820,16.494,-0.919
Cs8Tl4Bi4Br24,2.099,0.000,-1.060
Cs8Sb4Br24Ag4,1.201,7.618,-0.901
Cs8Sb4Au4Br24,0.019,70.062,-0.807
Cs8Br24Bi4Ag4,1.616,0.000,-0.966
Cs8Sb4Tl4Br24,1.673,12.813,-0.995
Cs8Bi4Ag4Cl24,2.102,0.000,-1.109
Cs8Au4Bi4Cl24,1.102,31.290,-0.995
Cs8Bi4Cu4Cl24,1.121,0.000,-1.069
Cs8Tl4Bi4Cl24,2.532,0.000,-1.208
Cs8Sb4Ag4Cl24,1.675,0.000,-1.042
Cs8Sb4Au4Cl24,0.588,86.765,-0.925
Cs8Sb4Cu4Cl24,0.910,35.364,-1.001
Cs8Sb4Tl4Cl24,2.020,8.706,-1.140
Cs8I24Bi4Ag4,1.113,13.124,-0.756
Cs8I24Au4Bi4,0.046,48.517,-0.687
Cs8I24Bi4Cu4,0.713,37.990,-0.706
Cs8I24Tl4Bi4,1.763,6.879,-0.839
Cs8Sb4I24Ag4,0.759,28.277,-0.697
Cs8Sb4Au4I24,0.596,57.722,-0.634
Cs8Sb4I24Cu4,0.481,51.908,-0.648
Cs8Sb4Tl4I24,1.402,22.338,-0.780
K8Br24Bi4Ag4,2.016,0.000,-0.906
K8Au4Bi4Br24,1.761,37.743,-0.814
K8Br24Bi4Cu4,0.880,30.258,-0.841
K8Br24Bi4Tl4,2.206,16.965,-0.979
Sb4K8Br24Ag4,1.185,9.366,-0.817
Sb4K8Au4Br24,1.269,37.431,-0.748
Sb4K8Br24Cu4,0.620,24.466,-0.781
Sb4K8Tl4Br24,1.747,18.409,-0.911
K8Bi4Ag4Cl24,2.441,0.000,-1.054
K8Au4Bi4Cl24,2.162,20.275,-0.934
K8Bi4Cu4Cl24,1.149,0.000,-1.002
K8Bi4Tl4Cl24,2.981,0.000,-1.160
Sb4K8Ag4Cl24,1.975,3.403,-0.984
Sb4K8Au4Cl24,1.784,83.380,-0.866
Sb4K8Cu4Cl24,0.912,35.622,-0.941
Sb4K8Tl4Cl24,2.468,17.184,-1.088
I24K8Bi4Ag4,1.533,29.487,-0.686
I24K8Au4Bi4,1.383,50.733,-0.631
I24K8Bi4Cu4,1.612,21.643,-0.669
I24K8Bi4Tl4,1.846,39.032,-0.756
I24Sb4K8Ag4,1.272,34.548,-0.632
I24Sb4K8Au4,0.964,62.485,-0.570
I24Sb4K8Cu4,1.322,53.333,-0.588
I24Sb4K8Tl4,1.631,26.878,-0.719
Ag4Br24Bi4Rb8,1.600,4.301,-0.915
Br24Au4Bi4Rb8,0.614,62.468,-0.817
Cu4Bi4Rb8Br24,0.885,20.832,-0.877
Tl4Br24Bi4Rb8,2.389,0.000,-1.028
Sb4Br24Ag4Rb8,1.172,13.060,-0.853
Sb4Au4Br24Rb8,0.023,69.619,-0.760
Sb4Br24Cu4Rb8,0.616,33.325,-0.815
Sb4Tl4Br24Rb8,1.927,8.024,-0.959
Ag4Bi4Rb8Cl24,2.085,0.000,-1.063
Au4Bi4Rb8Cl24,0.950,15.324,-0.942
Cu4Bi4Rb8Cl24,1.140,0.000,-1.034
Tl4Bi4Rb8Cl24,2.638,0.000,-1.159
Sb4Ag4Rb8Cl24,1.632,0.000,-0.999
Sb4Au4Rb8Cl24,0.581,48.626,-0.883
Sb4Cu4Rb8Cl24,0.912,0.000,-0.970
Sb4Tl4Rb8Cl24,2.096,0.000,-1.090
I24Ag4Bi4Rb8,1.114,32.149,-0.700
I24Au4Bi4Rb8,0.042,65.201,-0.632
I24Cu4Bi4Rb8,0.695,52.081,-0.654
I24Tl4Bi4Rb8,1.953,4.169,-0.807
I24Sb4Ag4Rb8,0.735,32.619,-0.644
I24Sb4Au4Rb8,0.618,57.547,-0.582
I24Sb4Cu4Rb8,0.342,52.969,-0.595
I24Sb4Tl4Rb8,1.438,27.163,-0.726
