Material composition,O p-band center (eV),Predicted Log k* (cm/s),Bandgap (eV),Charge transfer gap (eV),Energy above convex hull (meV/atom),Formation energy (eV/atom)
Ba7Zn1Co8O24,-1.491,-3.2343,0,0,177.2830204,-1.056878082
Ba7Zn1Fe8O24,-1.22,-2.3276,0,0.406,150.3710259,-1.294539365
Ba7Mn8Zn1O24,-1.58,-3.5321,0,0,202.0924573,-1.416259415
Ba7Zn1Ni8O24,-0.922,-1.3305,0,0.823,325.4978877,-0.613376457
Ba6Zn2Co8O24,-1.437,-3.0536,0,0,249.5494434,-0.922120842
Ba6Hf2Zn2Co6O24,-1.451,-3.1005,0,0,245.6479886,-1.35564614
Ba6Nb2Zn2Co6O24,-1.492,-3.2376,0,0,210.3752063,-1.319230776
Ba6Ta2Zn2Co6O24,-1.573,-3.5086,0,0,200.2688814,-1.377182623
Ba6Ti2Zn2Co6O24,-1.653,-3.7763,0,0.113,222.9273207,-1.310175945
Ba6Zr2Zn2Co6O24,-1.342,-2.7358,0,0,218.8005706,-1.345427638
Ba6Zn2Fe8O24,-1.177,-2.1837,0,0.184,239.2147742,-1.147953875
Ba6Hf2Zn2Fe6O24,-1.095,-1.9094,0,0,229.7901283,-1.535531352
Ba6Nb2Zn2Fe6O24,-1.225,-2.3443,0,0.66,214.1857524,-1.505804989
Ba6Ta2Zn2Fe6O24,-1.246,-2.4146,0,0.698,182.1290329,-1.563465835
Ba6Ti2Zn2Fe6O24,-1.166,-2.1469,0,0,241.5377029,-1.468941407
Ba6Zr2Zn2Fe6O24,-1.121,-1.9963,0,0.694,296.5012103,-1.431754351
Ba6Mn8Zn2O24,-1.259,-2.4581,0,0,276.2173687,-1.266850675
Ba6Hf2Mn6Zn2O24,-1.263,-2.4714,0,0,219.4705308,-1.654004453
Ba6Mn6Nb2Zn2O24,-1.617,-3.6559,0,0,193.7216936,-1.599268589
Ba6Ta2Mn6Zn2O24,-1.643,-3.7428,0,0,193.037892,-1.651939435
Ba6Ti2Mn6Zn2O24,-1.697,-3.9235,0,0,209.6344128,-1.589827507
Ba6Zr2Mn6Zn2O24,-1.263,-2.4714,0,0,201.4021128,-1.635006951
Ba6Zn2Ni8O24,-0.901,-1.2603,0,0,407.1471861,-0.488125467
Ba6Hf2Zn2Ni6O24,-0.963,-1.4677,0,0.123,396.8833354,-1.010474046
Ba6Nb2Zn2Ni6O24,-0.969,-1.4878,0,1.351,346.9129011,-0.993676683
Ba6Ta2Zn2Ni6O24,-1.001,-1.5948,0,0,340.4894741,-1.063905279
Ba6Ti2Zn2Ni6O24,-1.024,-1.6718,0,1.145,388.3951794,-0.970351601
Ba6Zr2Zn2Ni6O24,-1.022,-1.6651,0,1.062,344.7992754,-1.025327295
Ba4La1Zn3Ni8O24,-1.479,-3.1941,0,0,0,-1.221324367
Ba4La1Zn3Co8O24,-1.671,-3.8365,0,0,259.7211261,-0.920564492
Ba4La1Zn3Fe8O24,-1.411,-2.9666,0,0.329,253.5848549,-1.157166775
Ba4La1Mn8Zn3O24,-1.609,-3.6291,0,0,244.5589337,-1.296833575
La7Zn1Co8O24,-2.571,-6.8478,0,0,73.74750372,-1.658272819
La7Zn1Fe8O24,-2.369,-6.1719,0,1.131,79.88432553,-1.932741352
La7Mn8Zn1O24,-2.982,-8.2229,0,0,64.76678569,-2.035505402
