HOIP entry ID,Khazana ID,Organic cation source,Label,Material class,Geometry class,Organic cation chemical formula,Number of atom types,Total number of atoms,Atom types,Number of each atom,"Bandgap, HSE06 (eV)","Bandgap, GGA (eV)",Kpoint for VBM,Kpoint for CBM,"Dielectric constant, electronic","Dielectric constant, ionic","Dielectric constant, total",Refractive index,Atomization energy (eV/atom),Relative energy1 (eV/atom),Relative energy2 (eV/atom),Volume of the unit cell (A^3),Density (g/cm^3),Tool,Pseudopotential,Note,Created by
0001,1851,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9448,4.7308,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.7968,2.6005,5.3973,1.6724,-4.7512,-0.2279,0.3767,113.76,2.5647,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0002,1852,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.3704,4.1048,"0.5, 0.5, 0.5","0.5, 0.5, 0.5",2.8753,2.7377,5.613,1.6957,-4.7495,-0.2262,0.3784,113.87,2.5622,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0003,1853,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.8916,4.5915,"0.5, 0.5, 0.5","0, 0, 0.4",2.7387,3.3725,6.1112,1.6549,-4.7382,-0.2149,0.3897,118.14,2.4696,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0004,1854,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9494,4.6666,"0.5, 0.5, 0.5","0.0556, 0, 0.3571",2.7315,2.5727,5.3041,1.6527,-4.7509,-0.2276,0.377,117.07,2.4922,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0005,1855,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9595,4.6595,"0.0263, 0.5, 0.0263","-0.4167, 0.0909, 0.15",2.7502,2.2136,4.9637,1.6584,-4.7332,-0.2099,0.3947,116.03,2.5145,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0006,1856,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9412,4.664,"0.5, 0.5, 0","0.0556, 0, 0.1",2.7323,3.1944,5.9267,1.653,-4.743,-0.2197,0.3849,117.1,2.4915,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0007,1857,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.9521,4.6879,"-0.3333, 0.375, 0","0.0556, 0, 0.5",2.765,3.0257,5.7907,1.6628,-4.7391,-0.2159,0.3887,115.37,2.5289,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0008,1858,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.744,4.5073,"0.5, 0.5, 0.5","0.1, 0, 0.5",2.7876,14.5954,17.383,1.6696,-4.7287,-0.2055,0.3991,116.33,2.508,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0009,1859,"B.Saparov et al., Chem. Rev. 116, 4558 (2016)",Ethylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2NH3,5,15,C H N  Ge F,2 8 1  1 3,5.7012,4.4324,"0, 0.5, 0","0, 0, 0.5",2.631,2.3088,4.9398,1.622,-4.7298,-0.2065,0.3981,120.86,2.414,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
0010,1860,"S.Kataoka et al., J. Am. Chem. Soc. 137, 4158 (2015)",Propylammonium Germanium Fluoride,Hybrid organic-inorganic perovskite ( MC_ino ),Bulk crystalline materials ( GC_cry ),CH3CH2CH2NH3,5,18,C H N  Ge F,3 10 1  1 3,5.7402,4.5505,"0.5, 0.5, 0","0.0556, 0, 0.5",2.622,3.1627,5.7847,1.6193,-4.8101,-0.2489,0.2549,146.04,2.1573,VASP,PAW,"ENCUT=400eV, k-spacing_relax=0.20/Angstrom, k-spacing_bandgap=0.15/Angstrom","C.Kim, T.D.Huan, S.Krishnan, R. Ramprasad"
